X,Y
-0.7384,0.3377
-0.3118,0.2317
-0.2547,0.1933
-0.0131,0.1132
X,Y
-0.7157,0.3685
-0.2368,0.2111
0.0962,0.1412
X,Y
-0.6834,0.4378
-0.3296,0.3312
-0.2832,0.2863
-0.1324,0.2217
X,Y
-0.6813,0.461
-0.6629,0.4161
-0.2322,0.2977
-0.0784,0.2315
0.3858,0.1645
X,Y
-0.6565,0.4491
-0.5893,0.4079
-0.1958,0.2998
-0.0302,0.2527
X,Y
-0.6277,0.4556
-0.5661,0.4128
-0.1988,0.3096
0.1216,0.2414
1.3981,0.1438
X,Y
-0.5556,0.4177
-0.1901,0.3196
0.1377,0.2434
1.6211,0.139
X,Y
-0.6224,0.6974
-0.5428,0.4341
-0.1601,0.327
0.1866,0.2518
0.7017,0.2139
X,Y
-0.5386,0.4573
-0.5211,0.4448
-0.0468,0.332
0.2729,0.2606
0.701,0.2395
0.7121,0.2301
1.1855,0.1901
1.8029,0.1404
X,Y
-0.5386,0.5268
-0.461,0.4674
-0.0574,0.3438
0.2802,0.2733
